Average Surface Temperatures by Country
=======================================

Country                              Celsius   Fahrenheit
Slovak Republic (Europe)                9.24        48.64
Slovenia (Europe)                      10.29        50.53
Solomon Islands (Asia/Pacific)         26.18        79.12
Somalia (Africa)                       26.58        79.84
South Africa (Africa)                  17.75        63.95
South Sudan (Africa)                   27.79        82.02
Spain (Europe)                         14.43        57.97
Sri Lanka (Asia/Pacific)               26.59        79.86
St. Kitts and Nevis (America)          26.17        79.10
St. Lucia (America)                    26.56        79.81
St. Vincent and the Grenadines (America)    26.42        79.55
Sudan (Africa)                         28.24        82.84
Suriname (America)                     26.24        79.22
Svalbard and Jan Mayen (Europe)        -7.50        18.49
Sweden (Europe)                         5.69        42.24
Switzerland (Europe)                    6.52        43.73
Syrian Arab Republic (Asia/Pacific)    18.40        65.12
Tajikistan (Asia/Pacific)               5.18        41.32
Tanzania (Africa)                      23.61        74.50
Thailand (Asia/Pacific)                26.93        80.47
Timor-Leste (Asia/Pacific)             24.52        76.14
Togo (Africa)                          27.08        80.75
Tonga (Asia/Pacific)                   24.79        76.62
Trinidad and Tobago (America)          26.33        79.39
Tunisia (Africa)                       19.59        67.26
Turkiye (Asia/Pacific)                 11.78        53.20
Turkmenistan (Asia/Pacific)            16.38        61.48
Turks & Caicos Islands (America)       26.06        78.91
Uganda (Africa)                        22.72        72.90
Ukraine (Europe)                        9.25        48.65
United Arab Emirates (Asia/Pacific)    28.06        82.50
United Kingdom (Europe)                 9.84        49.71
United States of America (Europe)      11.79        53.22
Uruguay (America)                      17.26        63.08
Uzbekistan (Asia/Pacific)              12.89        55.20
Vanuatu (Asia/Pacific)                 25.35        77.64
Vatican City (Europe)                  15.73        60.32
Venezuela, RB (America)                25.13        77.24
Viet Nam (Asia/Pacific)                24.75        76.54
West Bank and Gaza (Asia/Pacific)      20.42        68.76
Yemen, Rep. (Asia/Pacific)             23.93        75.08
Zambia (Africa)                        22.12        71.82
Zimbabwe (Africa)                      21.01        69.82
